x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
792.63,781.26,795.4,826.22,896.77,1004.9,1072.7,1102.3,1124,1124,827.37,763.29,653.6,591.84,532.7,524.06,577.21,639.45,749.31,813.5
793.4,784,798.62,827.79,896.71,1004.7,1070.7,1098.9,1120.9,1122.6,826.76,761.5,650.57,587.95,527.98,519.14,572.95,636.41,747.21,811.07
794.14,786.9,801.95,829.15,896.63,1004.6,1069.8,1095,1117.8,1122,825,759.65,647.71,583.9,522.72,514.4,569.02,633.51,745.15,809.27
794.35,789.58,805.2,830.6,896.65,1004.3,1068,1091.3,1114.7,1120.5,823.54,758.27,644.98,580.23,518.15,509.37,564.7,630.41,743.17,807
795.27,792.4,808.62,832.23,896.61,1004.4,1066.6,1087.8,1111,1120,821.48,756.29,642.07,576.23,513.78,504.73,560.8,627.4,740.54,804.83
795.45,795.23,812,833.51,896.47,1004,1064.5,1083.8,1107.9,1118.6,819.58,754.33,639,572.53,509.42,500.51,556.8,624.6,738.13,801.71
796.45,798.23,815.36,834.71,896,1003.4,1063.5,1079.9,1104.5,1117.4,817.58,752.33,636.4,568.9,505.42,495.84,553.55,621.36,735.5,798.93
796.86,800.91,818.52,836.47,895.75,1003.3,1061.9,1076.5,1101.2,1116,815.39,750,633.38,565.51,501.27,491.62,549.39,617.96,732.9,796
797.5,803.87,822.32,837.91,895.63,1003.1,1060.4,1073.2,1098,1114.4,813.5,747.6,630.8,562.18,497.22,487.79,545.71,615.33,729.98,792.96
798.41,806.93,825.76,839.49,895.5,1002.9,1058.1,1069.8,1095.5,1112.6,810.93,745.4,627.88,558.77,493.64,484.42,541.62,611.84,727.43,789.68
799.5,810.08,828.88,840.92,894.79,1002.7,1056.3,1067.3,1091.8,1111.1,808.19,742.96,625.19,555.54,489.88,480.75,538.15,609.06,724.4,786.83
800.5,813.02,832.2,842.32,894.78,1002.1,1054.3,1063.6,1089.2,1109.3,805.2,740.4,622,552.05,486.13,476.87,534.61,605.86,721.68,783.59
801.53,815.77,835.23,843.76,894.5,1002.1,1053.4,1061,1085.9,1107.2,802.34,737.49,619.36,549,482.64,473.74,531.54,602.89,718.51,780.73
802.5,819.05,838.14,844.95,893.73,1001.7,1050.8,1058.2,1083.4,1105.3,798.67,735.13,616.67,546.07,479.5,470.28,529.3,599.85,715.71,777.24
803.97,821.88,840.79,845.88,893.64,1001.3,1049.6,1055.7,1080.4,1103.2,795.83,731.79,613.83,543.12,476.24,466.53,525.12,596.66,712.77,774.8
805.32,824.49,843.24,846.5,893.12,1001,1049.4,1053.5,1077.5,1100.8,793,729.2,610.94,540,472.62,463.17,522.17,593.5,709.82,771.9
807,827.06,845.83,847.83,892.76,1000.7,1046.9,1051.3,1075.3,1098.4,789.5,725.7,607.83,537.05,469.59,459.87,519.49,590.56,707.59,769.32
808.74,829.36,848,848.84,892.6,1000.7,1046.8,1050,1073,1095.9,786.84,723.4,605,533.93,466.36,456.84,516.71,587.54,704.59,766.94
810.26,832.11,850.04,849.38,892.31,1000.3,1044.9,1048.7,1070.7,1093.1,783.89,720.22,602.2,531.02,463.13,453.5,513.4,584.9,701.83,764.58
812.37,834.25,851.64,850.22,891.71,1000,1044,1046.8,1068.3,1091.1,781.37,717.63,599.74,528.06,460.24,450.5,510.77,581.47,699.45,762.32
814.27,836.92,853.54,850.28,891.43,999.88,1043.8,1046.1,1066.3,1088.1,778.49,714.95,596.67,525.53,457.02,447.28,507.32,579.12,697.47,760.25
816.76,838.92,854.95,850.83,891.34,999.4,1043.4,1044.7,1064.2,1085.2,775.78,712.56,593.7,522.52,454.59,444.4,504.75,575.93,695,758.61
818.95,840.88,855.8,851.77,891.02,999.08,1043,1043.6,1062.4,1082.2,773.57,709.86,591.02,519.88,450.72,441.31,501.7,572.92,692.43,756.87
821.1,842.97,856.71,852,890.5,999,1042.9,1042.8,1060.8,1079.3,771.49,707.37,588.49,517.38,448.5,438.5,498.94,570.23,690.15,754.83
823.59,844.79,857.8,851.95,890.37,998.62,1042.4,1042.1,1059.1,1076.1,769.33,705.36,585.63,514.7,445.9,435.62,496.54,567.46,688,753.06
825.87,846.64,858.6,852.02,889.6,997.67,1040.3,1041.2,1057.1,1073,767.63,703.4,583.38,512.06,443.36,432.44,492.98,564.68,685.92,751.5
828.89,848.05,858.86,852.28,889.5,997.11,1040.2,1043,1055.4,1069.9,766.11,701.2,580.68,509.46,441,429.49,490.58,561.95,683.76,749.97
831.75,849.54,859.1,852.49,889.48,997.12,1040,1041.6,1053.8,1066.9,764.84,699.23,577.96,507,438.36,427.37,488.14,559.88,681.89,748.8
834.28,851.19,858.88,852.68,889.05,997.62,1039.8,1040.3,1052.1,1063.3,763.41,697.33,575.85,504.54,435.53,425.52,485.74,557.33,679.57,747.1
837,852.35,859,852.66,888.63,997.37,1039.5,1040.1,1050.7,1059.5,761.88,695.3,573.5,502.23,433.07,423.89,483.1,555.11,677.75,745.68
840.24,853.83,858.74,852.42,888.5,996.66,1040.6,1040.2,1049.5,1056.5,760.86,693.42,571.53,499.94,431.07,420.07,481.63,553.32,675.67,744.19
843.38,855.2,858.78,852.3,888.21,996.51,1040.6,1039.6,1046.2,1053.1,759.4,691.52,569.24,497.78,428.9,418.33,479.42,550.5,674.53,742.83
846.59,856.52,858.54,851.84,887.6,996.18,1040.4,1039.7,1045,1049.7,758.24,689.89,567.15,495.38,426.64,415.82,477.4,548.62,672.74,741
849.74,857.8,858.83,851.5,887.6,995.93,1040.3,1042.1,1044,1046.1,757.18,688.41,565.05,493.5,424.64,414.04,475.28,546.68,671.05,739.46
