x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
772.75,729.68,740.69,802.78,901.11,1008.1,1104.9,1165.2,1176.3,1136,842.4,792.44,732.31,710.38,693.46,695.6,710.02,728.54,786.33,836.79
773.54,730.77,741.97,803.31,901.1,1008.2,1104.1,1164,1175.5,1135.2,841.85,791.5,728.73,704.73,685.73,687.67,704.02,725.5,785,836.5
774.28,732,743.39,804,901.19,1008.2,1104,1163,1174.3,1134.5,841.4,790.5,725.76,699,678.19,679.69,698.21,721.97,784.18,835.73
774.69,733.65,745.03,804.67,901.35,1008.3,1103.1,1161.7,1172.9,1134,840.88,789.35,722.1,693.67,670.5,671.9,692.4,718.15,783.15,835.5
775.24,734.9,746.41,805.52,901.37,1008.4,1102.3,1160.1,1171.4,1133.6,840.52,788.48,718.66,688.2,662.8,664.15,686.35,714.59,782.43,834.91
776,736.41,748.24,806.31,901.35,1008.4,1102,1158.3,1170.3,1132.7,840,787.28,714.94,682.88,655.33,655.7,680.9,710.9,781.18,834.6
776.56,737.71,749.59,807.33,901.43,1008.4,1101,1156.8,1168.5,1132.1,839.59,786.54,711.65,677.07,648.02,647.93,674.92,707.17,780.18,834.41
777.41,739.5,751.58,808.12,901.41,1008.5,1100.3,1154.9,1166.5,1131.2,838.93,785.21,708.33,671.6,640.8,640.5,669.3,703.91,779,834.06
778.13,741.39,753.46,809.13,901.46,1008.7,1099.3,1153.1,1164.7,1130.1,838.79,784.18,704.8,666.5,633.43,632.91,663.79,700.59,778.33,833.09
779.13,743.48,755.76,810.35,901.43,1008.7,1098.5,1150.7,1162.7,1129.9,838,783.11,701.12,661.17,626.15,625.38,658.3,697,777.07,832.91
779.56,745.5,758.1,811.13,901.5,1009,1097.4,1148.8,1160.7,1128.6,837.3,782,697.75,656.02,619,618.16,652.71,693.6,775.97,832.47
780.26,747.41,760.24,812.5,901.54,1008.9,1096.4,1146.8,1158.8,1128,836.59,780.45,694.67,650.5,611.93,611.13,647.3,690.39,775,832
781,749.52,762.89,813.62,901.5,1009.2,1095.3,1144.3,1157,1127.4,836.56,779.76,690.89,644.91,605.5,604.09,641.98,686.77,773.87,831.09
781.78,751.8,765.39,814.88,901.55,1009.2,1094.3,1141.6,1154.7,1126.5,835.87,778.46,687.86,639.96,598.54,596.87,636.83,683.16,772.73,830.29
782.59,753.8,767.97,816.42,901.71,1009.4,1093.2,1139.4,1152.2,1125.8,834.93,777.09,684.84,635.33,591.84,590.15,631.81,679.94,771.09,830.2
783.27,756.05,770.79,817.42,901.66,1009.5,1091.9,1136.6,1149.7,1125.1,834.68,775.89,681.11,629.81,585.23,583,626.61,676.37,770.03,829.09
783.91,758.91,773.84,818.79,901.58,1009.8,1090.5,1133.3,1147.3,1124.4,834.09,774.59,677.64,625.33,578.76,576.41,621.31,672.97,768.6,828.47
784.5,761.15,776.68,820.32,902.05,1009.8,1089.2,1131,1144.8,1123.9,833.21,773.15,674.26,619.98,572.41,569.78,616.37,669.31,766.97,827.59
785.26,763.78,779.55,821.43,902.34,1010,1088.1,1128.1,1141.9,1123,832.59,771.46,670.9,615.47,566.36,563,611.21,665.94,765.42,826.83
785.5,766.32,782.63,822.73,902.38,1010.2,1086.4,1125.1,1139,1122.1,831.88,770.34,667.76,610.39,560.27,556.92,606.63,662.24,763.78,825.67
786.59,769.11,785.71,824.16,902.38,1010.5,1085,1121.5,1137,1121.9,830.93,768.5,664.22,605.71,554.27,550.67,601.61,658.8,762.42,824.91
787,771.97,788.66,826.02,902.38,1010.5,1083.5,1118.2,1133.8,1121.3,829.93,766.86,660.91,601.29,548.18,544.63,596.59,655.45,760.72,823
787.41,774.55,792.17,827.36,902.63,1010.7,1082.3,1115,1130.9,1120.3,828.93,765.18,657.63,597.21,542.35,538.64,592.45,652.17,758.5,821.68
787.92,777.27,795.37,828.91,902.66,1010.8,1080.8,1111.4,1128,1120.2,827.92,763.44,654.42,592.96,536.77,532.84,587.52,648.54,756.66,820.28
788.35,780.35,798.88,830.66,902.85,1010.7,1079.1,1107.7,1125.2,1119.5,826.73,761.42,650.95,588.36,531.26,527.35,582.62,645.07,754.9,818.61
789.5,783.16,802.41,832.39,902.84,1010.8,1077.3,1104.5,1121.8,1119,824.86,759.47,647.89,583.73,525.93,521.59,578.19,641.93,752.34,816.62
789.68,786.4,806.28,834.27,902.86,1010.8,1076.2,1101.1,1119.1,1118.2,823.03,757.38,644.47,579.59,520.75,516.35,574.26,638.57,750.25,814.43
790.2,789.64,809.6,836.19,903.02,1010.9,1074.3,1097.3,1115.7,1117.6,821.33,755.6,641.31,575.79,515.79,511.58,570.11,635.24,747.49,811.96
790.81,792.67,813.5,837.86,903.22,1011.1,1072.9,1093.6,1112.8,1116.6,819.28,753.45,638,571.72,510.8,507.11,566,631.56,745.15,809.37
